run_name,model,baseline_channels,fc_width,activation,baseline_batch_norm,dropout,optimizer,lr,weight_decay,label_smoothing,scheduler,epochs_completed,model_parameters,training_samples,test_samples,average_epoch_seconds,best_epoch,best_train_loss,best_train_accuracy,best_test_loss,best_test_accuracy,best_test_error,best_test_error_percent,best_model_path
ablation-activation-gelu,baseline,32-64-128,256,gelu,False,0.0,adam,0.001,0.0,0.0,none,10,620362,50000,10000,3.4794347802409904,7,0.17316241127967835,0.944,0.9201801368713379,0.7577,0.24229999999999996,24.229999999999997,/data/yuhang/destiny/neuralnetwork_project2/codes/VGG_BatchNorm/reports/runs/ablation-activation-gelu/models/best.pt
ablation-dropout-0.3,baseline,32-64-128,256,relu,False,0.3,adam,0.001,0.0,0.0,none,10,620362,50000,10000,3.522792499489151,10,0.31736722162246706,0.88742,0.7579046135902405,0.7735,0.22650000000000003,22.650000000000002,/data/yuhang/destiny/neuralnetwork_project2/codes/VGG_BatchNorm/reports/runs/ablation-dropout-0.3/models/best.pt
ablation-label-smoothing-0.1,baseline,32-64-128,256,relu,False,0.0,adam,0.001,0.0,0.1,none,10,620362,50000,10000,3.4505951588740573,6,0.8794360148239135,0.86054,1.0626928230285644,0.7764,0.22360000000000002,22.360000000000003,/data/yuhang/destiny/neuralnetwork_project2/codes/VGG_BatchNorm/reports/runs/ablation-label-smoothing-0.1/models/best.pt
ablation-weight-decay-5e-4,baseline,32-64-128,256,relu,False,0.0,adam,0.001,0.0005,0.0,none,10,620362,50000,10000,3.4534609029069543,8,0.4177088930130005,0.85622,0.6873745957374573,0.7704,0.22960000000000003,22.96,/data/yuhang/destiny/neuralnetwork_project2/codes/VGG_BatchNorm/reports/runs/ablation-weight-decay-5e-4/models/best.pt
ablation-width-16-32-64,baseline,16-32-64,256,relu,False,0.0,adam,0.001,0.0,0.0,none,10,288554,50000,10000,3.3590200807200743,10,0.43596673257827756,0.85012,0.8456326158523559,0.7316,0.26839999999999997,26.839999999999996,/data/yuhang/destiny/neuralnetwork_project2/codes/VGG_BatchNorm/reports/runs/ablation-width-16-32-64/models/best.pt
ablation-width-64-128-256,baseline,64-128-256,256,relu,False,0.0,adam,0.001,0.0,0.0,none,10,1422218,50000,10000,3.427164733922109,6,0.30726947922706604,0.89294,0.7344660458564758,0.7816,0.21840000000000004,21.840000000000003,/data/yuhang/destiny/neuralnetwork_project2/codes/VGG_BatchNorm/reports/runs/ablation-width-64-128-256/models/best.pt
baseline-adam-10ep,baseline,,,,,,adam,0.001,0.0,,none,10,620362,50000,10000,3.4627428410341965,10,0.17402866829872132,0.94114,0.9562500484466553,0.7628,0.23719999999999997,23.719999999999995,/data/yuhang/destiny/neuralnetwork_project2/codes/VGG_BatchNorm/reports/runs/baseline-adam-10ep/models/best.pt
baseline-full-benchmark,baseline,,,,,,adam,0.001,0.0,,none,1,620362,50000,10000,36.307180290999895,1,1.3684548307418822,0.51004,1.0700179779052734,0.6242,0.3758,37.580000000000005,/Users/destinysmac/Downloads/PJ2_2026/codes/VGG_BatchNorm/reports/runs/baseline-full-benchmark/models/best.pt
best-candidate-large-dropout,baseline,64-128-256,256,relu,False,0.3,adam,0.001,0.0,0.0,none,10,1422218,50000,10000,3.569911266118288,7,0.3453098781681061,0.87856,0.6589640648841858,0.7914,0.2086,20.86,/data/yuhang/destiny/neuralnetwork_project2/codes/VGG_BatchNorm/reports/runs/best-candidate-large-dropout/models/best.pt
best-candidate-large-dropout-cosine,baseline,64-128-256,256,relu,False,0.3,adam,0.001,0.0,0.0,cosine,20,1422218,50000,10000,3.385960729094222,19,0.017057848477065565,0.99554,1.0701944566726684,0.8107,0.18930000000000002,18.930000000000003,/data/yuhang/destiny/neuralnetwork_project2/codes/VGG_BatchNorm/reports/runs/best-candidate-large-dropout-cosine/models/best.pt
