epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate,train_seconds,test_seconds,epoch_seconds
1,1.378448359298706,0.50982,1.068118217086792,0.619,0.001,3.3105599188711494,0.4525917680002749,3.7631516868714243
2,0.9259353384399414,0.6744,0.8522627413749695,0.7026,0.001,3.0261915628798306,0.5213876469060779,3.5475792097859085
3,0.7117158079528808,0.75126,0.7809377975463867,0.7312,0.001,2.77116096788086,0.512359355809167,3.283520323690027
4,0.5381552924346924,0.81228,0.7548321920871734,0.7387,0.001,3.0171299600042403,0.5100197850260884,3.5271497450303286
5,0.39244321108818053,0.86512,0.754916752243042,0.7567,0.001,3.069718834012747,0.4521133629605174,3.521832196973264
6,0.2722413744735718,0.90758,0.807433881187439,0.7558,0.001,2.9084606831893325,0.48377063404768705,3.3922313172370195
7,0.17316241127967835,0.944,0.9201801368713379,0.7577,0.001,2.997134234989062,0.4427552579436451,3.439889492932707
8,0.1090562950706482,0.9663,1.0272817163467407,0.7516,0.001,3.0376311240252107,0.44873216189444065,3.4863632859196514
9,0.0752788117980957,0.97682,1.1975491487503052,0.7417,0.001,2.815111970063299,0.45717823994345963,3.2722902100067586
10,0.06759056317389012,0.97842,1.1663830863952638,0.7512,0.001,3.0477752019651234,0.5125651319976896,3.560340333962813
