epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate,train_seconds,test_seconds,epoch_seconds
1,1.436166742668152,0.47998,1.0906186904907227,0.6167,0.001,3.391308208927512,0.4524433109909296,3.8437515199184418
2,1.0071752640151979,0.64544,0.8835105251312256,0.6902,0.001,3.0199273698963225,0.4727243799716234,3.492651749867946
3,0.830866314239502,0.7071,0.7970379683494568,0.7262,0.001,3.0581949439365417,0.49742451100610197,3.5556194549426436
4,0.7155407225990296,0.75074,0.7440724340438842,0.7391,0.001,2.9215254890732467,0.4408354200422764,3.362360909115523
5,0.6204256858062744,0.78548,0.7105395359992981,0.7575,0.001,2.9720028832089156,0.4241441029589623,3.396146986167878
6,0.5535467332267762,0.8065,0.6972026936531067,0.7619,0.001,2.9251399668864906,0.523757274961099,3.4488972418475896
7,0.482358481054306,0.83104,0.7138068263053894,0.7616,0.001,3.048554184148088,0.5045550300274044,3.5531092141754925
8,0.4201833771133423,0.85158,0.7016641012191772,0.7669,0.001,3.054958226159215,0.5242926059290767,3.5792508320882916
9,0.36145550070762633,0.87302,0.7605487429618836,0.7626,0.001,3.058919722912833,0.49573955894447863,3.5546592818573117
10,0.31736722162246706,0.88742,0.7579046135902405,0.7735,0.001,3.000149708939716,0.44132809597067535,3.4414778049103916
