epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate,train_seconds,test_seconds,epoch_seconds
1,1.3193323725700379,0.5226,0.9788611785888672,0.6547,0.001,3.296950994990766,0.4504077201709151,3.747358715161681
2,0.8385599920654296,0.70768,0.8064578611373902,0.7239,0.001,2.7710993150249124,0.46495837392285466,3.236057688947767
3,0.6625009202384948,0.77098,0.6934078280448913,0.7624,0.001,3.1053116631228477,0.496142468880862,3.6014541320037097
4,0.5273557926559448,0.81674,0.7403679475784302,0.7465,0.001,3.0453084299806505,0.4784008099231869,3.5237092399038374
5,0.41764687143325807,0.85604,0.683121361732483,0.7764,0.001,2.9277537351008505,0.45342931104823947,3.38118304614909
6,0.30726947922706604,0.89294,0.7344660458564758,0.7816,0.001,3.040157899959013,0.4625067750457674,3.5026646750047803
7,0.2236667073249817,0.92116,0.7778573875427246,0.7718,0.001,3.1230331959668547,0.4920115058775991,3.615044701844454
8,0.15666405900478364,0.94626,0.8214519149780274,0.7807,0.001,2.9443725789897144,0.40786794014275074,3.352240519132465
9,0.11515013415813447,0.96024,0.9617796649932862,0.7749,0.001,2.780670006060973,0.4458989810664207,3.2265689871273935
10,0.09472188388943673,0.96674,1.0380995695114135,0.7764,0.001,2.6449270939920098,0.44043853995390236,3.085365633945912
