epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate,train_seconds,test_seconds,epoch_seconds
1,1.3663639804458618,0.51188,1.0563751218795776,0.6289,0.001,3.2713532100897282,0.5481441409792751,3.8194973510690033
2,0.9480928813552857,0.66778,0.8934312035560608,0.6894,0.001,2.9927576610352844,0.46461529401130974,3.457372955046594
3,0.7728137565803528,0.73156,0.7776515281677246,0.7369,0.001,2.9629732959438115,0.5324239099863917,3.495397205930203
4,0.6521561582183838,0.7733,0.7665658824920655,0.742,0.001,3.01548043708317,0.41944203502498567,3.4349224721081555
5,0.545465539522171,0.81168,0.7158470192909241,0.7613,0.001,2.852808114141226,0.479694795794785,3.332502909936011
6,0.4599258936214447,0.84124,0.7640381471633911,0.7546,0.001,2.9526210338808596,0.4930219661910087,3.4456430000718683
7,0.3733563591194153,0.87072,0.7834612564086914,0.7546,0.001,2.975913464091718,0.4862096239812672,3.4621230880729854
8,0.3030383869743347,0.89432,0.8145509426116944,0.7599,0.001,2.897398608038202,0.43882179097272456,3.3362203990109265
9,0.2330788564014435,0.91936,0.8214821800231934,0.7617,0.001,2.8972271711099893,0.46217163698747754,3.359398808097467
10,0.17402866829872132,0.94114,0.9562500484466553,0.7628,0.001,2.997468041954562,0.48688217904418707,3.484350220998749
