epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate,train_seconds,test_seconds,epoch_seconds
1,1.4118272843933106,0.4882,1.075809203338623,0.6149,0.001,6.994485627161339,0.7140720270108432,7.708557654172182
2,0.958714566783905,0.66362,0.8279306109428406,0.7126,0.001,2.880567274056375,0.45910715498030186,3.339674429036677
3,0.7839480882644654,0.72872,0.7369696635246277,0.743,0.001,2.9727002400904894,0.43292774586007,3.4056279859505594
4,0.6834016597938538,0.76218,0.7542526296138763,0.735,0.001,3.1094470729585737,0.47832317487336695,3.5877702478319407
5,0.6004346307754517,0.79066,0.6760220920562744,0.7672,0.001,3.1155032720416784,0.43481923500075936,3.550322507042438
6,0.53975002658844,0.80992,0.6327242272377014,0.7828,0.001,3.0783553409855813,0.47861494100652635,3.5569702819921076
7,0.4761087201499939,0.83224,0.6242658501625061,0.7848,0.001,2.873195003019646,0.4752163249067962,3.348411327926442
8,0.429640820274353,0.84868,0.6260427569389343,0.7851,0.001,2.8647586880251765,0.476217573042959,3.3409762610681355
9,0.3802048409461975,0.86632,0.6291343747138977,0.7937,0.001,2.933367236983031,0.4629563319031149,3.396323568886146
10,0.3487514053440094,0.87824,0.643488615322113,0.7851,0.001,2.9390296968631446,0.44626102200709283,3.3852907188702375
