epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate,train_seconds,test_seconds,epoch_seconds
1,1.3861194143676758,0.49728,1.0345119390487671,0.633,0.001,3.3056627658661455,0.5003090410027653,3.805971806868911
2,0.9196331127548217,0.68032,0.7981514731407165,0.7251,0.001,3.029374634148553,0.4541793600656092,3.4835539942141622
3,0.735638590927124,0.7439,0.7198786189079285,0.7538,0.001,3.0959340441040695,0.5236181470099837,3.619552191114053
4,0.6111577069473266,0.786,0.7221862683296204,0.7592,0.001,3.017544155009091,0.4518845370039344,3.4694286920130253
5,0.5106106978797913,0.82302,0.6685980494499206,0.775,0.001,3.0571203830186278,0.4626954330597073,3.519815816078335
6,0.4253944941329956,0.8508,0.6556741492271423,0.7882,0.001,3.1287116119638085,0.4483331339433789,3.5770447459071875
7,0.3453098781681061,0.87856,0.6589640648841858,0.7914,0.001,3.1262258540373296,0.462645067833364,3.5888709218706936
8,0.27444698444366455,0.90174,0.722002636051178,0.7852,0.001,3.032908790046349,0.4626250290311873,3.4955338190775365
9,0.2257117541885376,0.91892,0.747709476852417,0.7904,0.001,3.0316197730135173,0.4975540910381824,3.5291738640516996
10,0.18906911388874054,0.93364,0.8115127566337585,0.7824,0.001,3.129762028111145,0.4804047818761319,3.610166809987277
