epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate,train_seconds,test_seconds,epoch_seconds
1,1.3704097853279114,0.49226,1.321769599723816,0.5438,0.001,4.467272178968415,0.520806664833799,4.988078843802214
2,0.8719244383430481,0.69368,0.8582119638442993,0.7108,0.001,3.7780817970633507,0.538487897021696,4.316569694085047
3,0.6666818260574341,0.7681,0.7130776805877685,0.7584,0.001,3.5581814849283546,0.5334306410513818,4.0916121259797364
4,0.5347079994010925,0.81768,0.6512217980384827,0.7804,0.001,3.511983617208898,0.5139600511174649,4.025943668326363
5,0.42365366488456724,0.85486,0.6494558057785034,0.788,0.001,3.7005272649694234,0.4694854421541095,4.170012707123533
6,0.34548456756591794,0.88118,0.707048923587799,0.7817,0.001,3.5595490080304444,0.506825947901234,4.066374955931678
7,0.26955844464302064,0.9072,0.7508967266082763,0.7835,0.001,3.583751135971397,0.5328289598692209,4.116580095840618
8,0.21043319067955016,0.92832,0.6690716876983642,0.8031,0.001,3.6321920279879123,0.5276105019729584,4.159802529960871
9,0.17092544637680054,0.94254,0.8190122982025146,0.7755,0.001,3.571380206849426,0.5188846890814602,4.090264895930886
10,0.13497603767633437,0.95414,0.7572122935295105,0.8169,0.001,3.485931186005473,0.49685091408900917,3.9827821000944823
