epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate,train_seconds,test_seconds,epoch_seconds
1,1.7654872325515747,0.30166,1.3735377126216888,0.4468,0.001,50.24602258300001,2.8832764590006263,53.12929904200064
2,1.1955447945022584,0.5636,1.0016112182617187,0.6372,0.001,49.32235104099891,2.8643564999983937,52.186707540997304
3,0.9129794463920593,0.67834,0.9177171577453613,0.6807,0.001,49.444058709003,2.8620092920027673,52.30606800100577
4,0.7445075653076172,0.74342,0.8243547698974609,0.7195,0.001,49.9027170829977,2.8222595839979476,52.724976666995644
5,0.623606481590271,0.78652,0.7982873725891113,0.7316,0.001,49.369390667001426,2.9116027079980995,52.280993374999525
6,0.5221838385391235,0.82014,0.7756873832702637,0.7507,0.001,49.801907082997786,2.8126914159984153,52.6145984989962
7,0.42926504638671875,0.85244,0.7957467109680175,0.7553,0.001,49.96834837500137,2.8128750839969143,52.781223458998284
8,0.36640720771789553,0.87872,0.9264158294677735,0.7167,0.001,50.07378604099722,2.858218042001681,52.9320040829989
9,0.33701460224151614,0.88812,0.846156478881836,0.7592,0.001,49.531204082999466,2.821817790998466,52.35302187399793
10,0.2415103881072998,0.91846,0.9067618316650391,0.7579,0.001,49.9079132079969,2.7980600419978146,52.70597324999471
